model,demand,epq,total_cycle,production_cycle,depletion_cycle,runs,setup,holding,total
Quintrex 520 Ocean Spirit ,42,36,313,13,300,1,5000,11725.92,16726
Quintrex 520 Ocean Spirit Pro,35,33,344,12,332,1,5000,10827.3,15827
Quintrex 520 Top Ender ,16,22,502,8,494,1,5000,7360.32,12360
Quintrex 520 Top Ender Pro,14,20,521,7,514,1,5000,6704.799999999999,11705
Quintrex 530 Freestyler,24,27,411,10,401,1,5000,8959.68,13960
Quintrex 530 Frontier S.C.,2,8,1460,3,1457,0,0,2714.56,2715
Quintrex 530 Renegade CC,14,20,521,7,514,1,5000,6704.799999999999,11705
Quintrex 530 Renegade SC,22,26,431,9,422,1,5000,8645.52,13646
Quintrex 530 Territory Legend,5,12,876,4,872,0,0,4059.6,4060
Quintrex 540 Cruiseabout ,25,27,394,10,384,1,5000,8950.5,13950
Quintrex 540 Cruiseabout Pro,35,33,344,12,332,1,5000,10827.3,15827
Quintrex 540 Fishabout,7,14,730,5,725,0,0,4726.679999999999,4727
Quintrex 540 Fishabout Pro,5,12,876,4,872,0,0,4059.6,4060
Quintrex 540 Ocean Spirit,15,21,511,8,503,1,5000,7032.9,12033
Quintrex 540 Ocean Spirit Pro,12,19,578,7,571,1,5000,6382.48,11382
Quintrex 540 Top Ender ,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 540 Top Ender Pro ,15,21,511,8,503,1,5000,7032.9,12033
Quintrex 550 Freestyler,32,31,354,11,342,1,5000,10202.72,15203
Quintrex 550 Frontier S.C.,2,8,1460,3,1457,0,0,2714.56,2715
Quintrex 570 Renegade CC,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 570 Renegade SC,9,16,649,6,643,1,5000,5391.04,10391
Quintrex 570 Territory Legend,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 590 Cruiseabout Pro XLS,16,22,502,8,494,1,5000,7360.32,12360
Quintrex 590 Cruiseabout XLS ,10,17,620,6,614,1,5000,5722.2,10722
Quintrex 590 Freestyler,16,22,502,8,494,1,5000,7360.32,12360
Quintrex 590 Frontier S.C.,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 590 Ocean Spirit Pro XLS,17,23,494,8,485,1,5000,7687.0599999999995,12687
Quintrex 590 Ocean Spirit XLS ,6,13,791,5,786,0,0,4393.4800000000005,4393
Quintrex 590 Top Ender Pro XLS,2,8,1460,3,1457,0,0,2714.56,2715
Quintrex 590 Top Ender XLS,3,9,1095,3,1092,0,0,3050.82,3051
Quintrex 600 Fishseeker (2) L/S,15,21,511,8,503,1,5000,7032.9,12033
Quintrex 610 Territory Legend,25,27,394,10,384,1,5000,8950.5,13950
Quintrex 610 Trident,26,28,393,10,383,1,5000,9272.48,14272
Quintrex 610 Trident Hard Top,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 630 Freestyler,16,22,502,8,494,1,5000,7360.32,12360
Quintrex 630 Frontier Rear Console,1,5,1825,2,1823,0,0,1698.3,1698
Quintrex 650 Trident,8,15,684,5,679,1,5000,5059.2,10059
Quintrex 650 Trident Hard Top,3,9,1095,3,1092,0,0,3050.82,3051
Quintrex 690 Trident Hard Top,2,8,1460,3,1457,0,0,2714.56,2715
Quintrex F350 Outback Explorer (2) L/S,117,62,193,23,171,2,10000,18613.64,28614
Quintrex F350 Outback Explorer (2) S/S,61,44,263,16,247,1,5000,14047.44,19047
Quintrex F370 Outback Explorer (2) L/S,197,85,157,31,126,2,10000,23206.699999999997,33207
Quintrex F390 Explorer (2) L/S,59,43,266,16,250,1,5000,13757.42,18757
Quintrex F390 Outback Explorer (2) L/S,271,105,141,38,103,3,15000,26025.3,41025
Quintrex F390 Outback Explorer L/S,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex F400 Explorer Trophy L/S,27,29,392,11,381,1,5000,9593.779999999999,14594
Quintrex F420 Explorer (2) L/S,56,42,274,15,258,1,5000,13480.319999999998,18480
Quintrex F420 Explorer Trophy L/S,83,52,229,19,210,2,10000,16212.560000000001,26213
Quintrex F420 Hornet Trophy,13,20,562,7,554,1,5000,6711.599999999999,11712
Quintrex F440 Explorer Trophy L/S,27,29,392,11,381,1,5000,9593.779999999999,14594
Quintrex F440 Hornet Trophy,26,28,393,10,383,1,5000,9272.48,14272
Quintrex PKD 370 Dart (2) L/S Tahiti,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex PKD 400 Dart (2) L/S Tahiti,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex PKD 420 Dory Blade (2) L/S Tahiti,8,15,684,5,679,1,5000,5059.2,10059
Quintrex PKD 420E Explorer (2) L/S Tahiti,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex PKD 460 Dory Blade (2) L/S Tahiti,5,12,876,4,872,0,0,4059.6,4060
Quintrex PKD 520 Dory Blade (2) L/S Tahiti,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 300 Hawk (2) S/S,1,5,1825,2,1823,0,0,1698.3,1698
Savage 310 Water Rat (2) S/S,2,8,1460,3,1457,0,0,2714.56,2715
Savage 320 Hawk (2) S/S,1,5,1825,2,1823,0,0,1698.3,1698
Savage 350 Jabiru (2) L/S (EXPORT ONLY),4,11,1004,4,1000,0,0,3725.04,3725
Savage 355 Raptor (2) S/S,3,9,1095,3,1092,0,0,3050.82,3051
Savage 355 Raptor Extreme (2) S/S,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 355 Snipe (2) S/S,2,8,1460,3,1457,0,0,2714.56,2715
Savage 360 Hawk (2) S/S,4,11,1004,4,1000,0,0,3725.04,3725
Savage 375 Raptor Extreme (2) L/S,21,25,435,9,425,1,5000,8321.5,13322
Savage 375 Snipe (2) L/S,9,16,649,6,643,1,5000,5391.04,10391
Savage 385 Kestrel (2) L/S,8,15,684,5,679,1,5000,5059.2,10059
Savage 385 Kestrel (2) L/S (EXPORT ONLY),4,11,1004,4,1000,0,0,3725.04,3725
Savage 395 Raptor (2) L/S,23,26,413,9,403,1,5000,8636.68,13637
Savage 395 Raptor (2) L/S (EXPORT ONLY),3,9,1095,3,1092,0,0,3050.82,3051
Savage 405 Raptor Pro L/S,3,9,1095,3,1092,0,0,3050.82,3051
Savage 425 Kestrel(1) L/S,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 425 Osprey (1) L/S,16,22,502,8,494,1,5000,7360.32,12360
Savage 425 Raptor (2) L/S,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 425 Raptor Pro L/S,4,11,1004,4,1000,0,0,3725.04,3725
Savage 435 BayCruiser,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 435 Jabiru - Tiller Steer - SES,3,9,1095,3,1092,0,0,3050.82,3051
Savage 435 Safari (2) L/S (EXPORT ONLY),10,17,620,6,614,1,5000,5722.2,10722
Savage 435 Scorpion SC,4,11,1004,4,1000,0,0,3725.04,3725
Savage 435 Scorpion TS,5,12,876,4,872,0,0,4059.6,4060
Savage 445 Kestrel (1) L/S,6,13,791,5,786,0,0,4393.4800000000005,4393
Savage 445 Osprey (1) L/S,4,11,1004,4,1000,0,0,3725.04,3725
Savage 445 Raptor Pro L/S,2,8,1460,3,1457,0,0,2714.56,2715
